(  0,             nan, 0.015,        inf, 1,  0)
(  1,             nan, 0.015,        inf, 1,  0)
(  2,             nan, 0.015,        inf, 1,  0)
(  3,             nan, 0.015,        inf, 1,  0)
(  4,             nan, 0.015,        inf, 1,  0)
(  5,             nan, 0.015,        inf, 1,  0)
(  6,             nan, 0.015,        inf, 1,  0)
(  7,             nan, 0.015,        inf, 1,  0)
(  8,             nan, 0.015,        inf, 1,  0)
(  9,             nan, 0.015,        inf, 1,  0)
( 10,  3.36464286e-01, 0.015, 0.19905706, 0,  1)
( 11,  2.51319408e-01, 0.015, 0.10644998, 0,  1)
( 12,  4.14254040e-01, 0.015, 0.08194679, 0, -1)
( 13,  2.11769253e-01, 0.015, 0.0671034 , 0,  1)
( 14,  1.54844433e-01, 0.015, 0.05947638, 0,  1)
( 15,  2.13645801e-01, 0.015, 0.05403249, 0, -1)
( 16,  2.09175602e-01, 0.015, 0.05001505, 0,  1)
( 17,  9.47442427e-02, 0.015, 0.0463088 , 0, -1)
( 18,  5.70891835e-02, 0.015, 0.0426999 , 0,  1)
( 19,  7.20593194e-03, 0.015, 0.03944324, 0, -1)
( 20,  1.33920074e-01, 0.015, 0.03668825, 0,  1)
( 21,  8.85019451e-02, 0.015, 0.03428038, 0, -1)
( 22,  4.93209511e-02, 0.015, 0.0323132 , 0,  1)
( 23,  7.21669868e-02, 0.015, 0.03124568, 0, -1)
( 24,  3.69310454e-02, 0.015, 0.0304524 , 0,  1)
( 25,  1.01675197e-01, 0.015, 0.03005157, 0, -1)
( 26,  3.66197154e-02, 0.015, 0.02985189, 0,  1)
( 27,  6.04639724e-02, 0.015, 0.03609567, 0, -1)
( 28,  8.31296295e-02, 0.015, 0.03590341, 0,  1)
( 29,  6.24451786e-02, 0.015, 0.03560377, 0, -1)
( 30,  6.12748452e-02, 0.015, 0.03514494, 0,  1)
( 31,  1.87250171e-02, 0.015, 0.0349112 , 0, -1)
( 32,  4.50994037e-02, 0.015, 0.03497507, 0,  1)
( 33,  2.57711206e-02, 0.015, 0.03486253, 0, -1)
( 34,  8.04428384e-02, 0.015, 0.03417209, 0,  1)
( 35,  9.00500417e-02, 0.015, 0.03429829, 0, -1)
( 36,  4.94529866e-03, 0.015, 0.03465553, 0,  1)
( 37,  6.08679093e-03, 0.015, 0.03478467, 0, -1)
( 38,  5.61714545e-02, 0.015, 0.03597639, 0,  1)
( 39,  1.33836325e-02, 0.015, 0.03814018, 0, -1)
( 40,  8.32900107e-02, 0.015, 0.04054984, 0, -1)
( 41,  2.56239437e-02, 0.015, 0.04262763, 0,  1)
( 42, -2.26207320e-02, 0.015, 0.04358885, 0, -1)
( 43,  7.18720108e-02, 0.015, 0.0427275 , 0, -1)
( 44, -1.24073107e-04, 0.015, 0.04008106, 0,  1)
( 45,  7.72467488e-03, 0.015, 0.03736919, 0, -1)
( 46,  1.87317058e-02, 0.015, 0.0406565 , 0,  1)
( 47,  3.75871323e-02, 0.015, 0.03910679, 0, -1)
( 48,  3.74211036e-02, 0.015, 0.03871711, 0, -1)
( 49,  5.02987020e-02, 0.015, 0.03809167, 0,  1)
( 50,  1.12423068e-02, 0.015, 0.03745709, 0, -1)
( 51, -2.08373647e-02, 0.015, 0.03653242, 0,  1)
( 52,  2.34803203e-02, 0.015, 0.03467616, 0, -1)
( 53,  4.58567962e-02, 0.015, 0.03213444, 0, -1)
( 54,  4.92583290e-02, 0.015, 0.02975712, 0,  1)
( 55,  3.55836526e-02, 0.015, 0.02853282, 0, -1)
( 56, -1.23541374e-02, 0.015, 0.02815253, 0, -1)
( 57,  1.75957531e-02, 0.015, 0.02766479, 0,  1)
( 58, -5.76905124e-02, 0.015, 0.02669084, 0, -1)
( 59, -1.75711941e-02, 0.015, 0.02514897, 0, -1)
( 60, -3.15891095e-02, 0.015, 0.02349083, 0,  1)
( 61, -2.69473456e-02, 0.015, 0.0221143 , 0, -1)
( 62, -5.93220349e-03, 0.015, 0.02107411, 0, -1)
( 63, -9.38218925e-03, 0.015, 0.02035307, 0,  1)
( 64,  1.86309335e-03, 0.015, 0.02197695, 0, -1)
( 65,  5.51041542e-03, 0.015, 0.02152036, 0, -1)
